order_item_id,order_id,product_id,quantity,unit_price_at_buy,unit_cost_at_sale,discount_amount_applied,promo_id
1,ORD00001,PRD0213,3,282.04,204.21,0.0,
2,ORD00001,PRD0251,1,376.99,285.35,0.0,
3,ORD00001,PRD0016,1,388.8,310.47,0.0,
4,ORD00001,PRD0141,1,307.26,224.98,0.0,
5,ORD00002,PRD0282,3,259.04,204.11,0.0,
6,ORD00002,PRD0059,2,44.72,32.37,0.0,
7,ORD00002,PRD0422,2,45.32,35.63,0.0,
8,ORD00002,PRD0388,1,42.9,33.6,0.0,
9,ORD00003,PRD0377,3,46.01,32.58,0.0,
10,ORD00004,PRD0179,1,76.49,57.07,0.0,
11,ORD00004,PRD0061,1,292.34,211.74,10.0,P3
12,ORD00004,PRD0441,3,433.48,330.62,0.0,
13,ORD00005,PRD0402,1,24.19,17.59,0.0,
14,ORD00005,PRD0413,1,379.92,270.27,0.0,
15,ORD00006,PRD0166,3,213.29,156.36,0.0,
16,ORD00006,PRD0294,2,252.71,177.83,0.0,
17,ORD00007,PRD0471,1,258.77,195.11,0.0,
18,ORD00007,PRD0444,3,258.6,189.05,465.48,P1
19,ORD00007,PRD0128,1,366.99,268.4,0.0,
20,ORD00007,PRD0425,1,208.17,159.04,0.0,
21,ORD00008,PRD0296,3,438.35,326.15,0.0,
22,ORD00008,PRD0213,2,282.04,204.21,0.0,
23,ORD00009,PRD0356,2,205.09,147.46,20.0,P3
24,ORD00009,PRD0168,3,200.84,156.05,120.5,P2
25,ORD00009,PRD0375,2,39.8,29.77,15.92,P2
26,ORD00010,PRD0112,2,336.8,247.67,0.0,
27,ORD00010,PRD0254,2,274.59,204.23,0.0,
28,ORD00010,PRD0146,2,339.67,245.4,0.0,
29,ORD00010,PRD0067,3,78.69,56.53,0.0,
30,ORD00011,PRD0024,1,206.57,145.97,0.0,
31,ORD00012,PRD0476,1,31.41,23.13,0.0,
32,ORD00013,PRD0452,3,491.37,348.1,0.0,
33,ORD00013,PRD0448,2,294.36,234.14,0.0,
34,ORD00014,PRD0341,3,63.09,45.64,113.56,P1
35,ORD00014,PRD0157,3,310.2,239.45,186.12,P2
36,ORD00014,PRD0220,3,164.62,127.46,98.77,P2
37,ORD00015,PRD0068,3,132.41,104.91,0.0,
38,ORD00016,PRD0357,2,475.02,371.66,0.0,
39,ORD00017,PRD0245,1,354.46,264.22,0.0,
40,ORD00017,PRD0046,3,127.33,92.2,0.0,
41,ORD00018,PRD0071,2,484.81,384.28,0.0,
42,ORD00018,PRD0386,1,219.11,167.95,0.0,
43,ORD00018,PRD0347,1,66.9,48.4,0.0,
44,ORD00019,PRD0226,2,32.3,22.79,0.0,
45,ORD00019,PRD0322,3,144.5,109.33,0.0,
46,ORD00020,PRD0460,1,437.91,321.14,0.0,
47,ORD00021,PRD0162,1,144.55,102.31,28.91,P2
48,ORD00021,PRD0128,3,366.99,268.4,660.58,P1
49,ORD00021,PRD0146,3,339.67,245.4,203.8,P2
50,ORD00021,PRD0106,3,280.32,208.21,168.19,P2
51,ORD00022,PRD0402,1,24.19,17.59,0.0,
52,ORD00023,PRD0271,1,380.66,290.27,0.0,
53,ORD00024,PRD0441,3,433.48,330.62,0.0,
54,ORD00024,PRD0280,3,490.32,355.17,0.0,
55,ORD00024,PRD0242,1,95.17,67.33,0.0,
56,ORD00024,PRD0035,1,431.78,302.74,0.0,
57,ORD00025,PRD0322,3,144.5,109.33,86.7,P2
58,ORD00025,PRD0217,3,281.2,206.51,168.72,P2
59,ORD00025,PRD0143,1,398.93,317.54,79.79,P2
60,ORD00026,PRD0201,3,61.71,49.13,0.0,
61,ORD00026,PRD0428,3,417.69,330.8,0.0,
62,ORD00026,PRD0034,2,498.1,375.03,0.0,
63,ORD00027,PRD0045,2,465.26,366.57,0.0,
64,ORD00027,PRD0314,3,235.19,180.32,423.34,P1
65,ORD00028,PRD0363,1,170.99,122.22,0.0,
66,ORD00029,PRD0086,2,50.17,38.42,0.0,
67,ORD00029,PRD0400,2,340.74,257.49,0.0,
68,ORD00029,PRD0061,1,292.34,211.74,0.0,
69,ORD00030,PRD0135,3,362.68,264.77,0.0,
70,ORD00031,PRD0262,2,484.84,362.18,20.0,P3
71,ORD00031,PRD0189,1,474.4,354.14,0.0,
72,ORD00031,PRD0053,3,359.34,265.88,0.0,
73,ORD00031,PRD0060,1,114.98,82.01,0.0,
74,ORD00032,PRD0024,2,206.57,145.97,0.0,
75,ORD00032,PRD0472,1,28.5,20.91,0.0,
76,ORD00033,PRD0115,2,433.66,345.9,0.0,
77,ORD00033,PRD0469,3,104.08,83.26,0.0,
78,ORD00033,PRD0423,1,223.75,166.91,0.0,
79,ORD00033,PRD0062,3,405.67,291.69,0.0,
80,ORD00034,PRD0489,2,443.47,351.69,177.39,P2
81,ORD00035,PRD0045,3,465.26,366.57,0.0,
82,ORD00035,PRD0189,1,474.4,354.14,0.0,
83,ORD00035,PRD0402,2,24.19,17.59,0.0,
84,ORD00036,PRD0396,1,119.88,85.21,0.0,
85,ORD00036,PRD0280,1,490.32,355.17,0.0,
86,ORD00036,PRD0478,2,124.66,90.24,0.0,
87,ORD00036,PRD0278,2,254.2,196.16,0.0,
88,ORD00037,PRD0389,3,221.62,171.64,0.0,
89,ORD00038,PRD0272,1,109.74,82.85,0.0,
90,ORD00038,PRD0493,1,397.78,283.92,0.0,
91,ORD00039,PRD0472,1,28.5,20.91,0.0,
92,ORD00040,PRD0235,3,384.58,292.52,0.0,
93,ORD00040,PRD0049,3,385.26,274.63,0.0,
94,ORD00040,PRD0420,2,96.09,70.92,0.0,
95,ORD00041,PRD0122,2,119.23,91.33,0.0,
96,ORD00041,PRD0162,2,144.55,102.31,0.0,
97,ORD00042,PRD0140,1,158.9,114.57,0.0,
98,ORD00042,PRD0104,1,31.6,23.17,0.0,
99,ORD00042,PRD0300,1,175.9,135.31,105.54,P1
100,ORD00042,PRD0239,2,39.51,31.45,0.0,
