order_id,customer_id,order_datetime,payment_method,channel,order_status
ORD00001,CUS0259,2025-09-30 07:27:49,E-Wallet,Offline,Completed
ORD00002,CUS0087,2025-09-12 06:39:16,Cash,Offline,Completed
ORD00003,CUS0226,2025-04-20 00:29:57,E-Wallet,Online,Completed
ORD00004,CUS0153,2025-05-30 19:03:37,E-Wallet,Online,Completed
ORD00005,CUS0220,2025-05-03 18:58:33,Cash,Online,Completed
ORD00006,CUS0273,2025-10-12 10:17:00,Cash,Offline,Completed
ORD00007,CUS0264,2025-09-11 01:40:40,Credit Card,Online,Completed
ORD00008,CUS0347,2025-04-15 09:12:52,E-Wallet,Offline,Completed
ORD00009,CUS0325,2025-02-26 17:49:54,E-Wallet,Online,Completed
ORD00010,CUS0436,2025-11-17 17:47:19,Cash,Online,Completed
ORD00011,CUS0404,2025-01-12 16:35:33,Cash,Offline,Completed
ORD00012,CUS0429,2025-10-01 09:53:50,Credit Card,Offline,Completed
ORD00013,CUS0001,2025-07-03 04:47:19,Credit Card,Offline,Completed
ORD00014,CUS0185,2025-01-04 22:56:20,Credit Card,Offline,Completed
ORD00015,CUS0001,2025-10-31 02:17:35,E-Wallet,Online,Completed
ORD00016,CUS0349,2025-09-05 11:38:14,Credit Card,Offline,Completed
ORD00017,CUS0441,2025-11-15 20:31:50,Cash,Offline,Completed
ORD00018,CUS0053,2025-07-21 17:06:22,E-Wallet,Offline,Completed
ORD00019,CUS0289,2025-10-29 22:40:16,Cash,Online,Completed
ORD00020,CUS0211,2025-12-01 13:41:47,Credit Card,Offline,Completed
ORD00021,CUS0064,2025-07-02 16:21:27,E-Wallet,Offline,Completed
ORD00022,CUS0383,2025-09-16 04:54:22,E-Wallet,Offline,Completed
ORD00023,CUS0058,2025-06-04 05:11:00,E-Wallet,Online,Completed
ORD00024,CUS0479,2025-02-27 01:48:37,Credit Card,Offline,Completed
ORD00025,CUS0021,2025-12-21 05:11:48,E-Wallet,Online,Completed
ORD00026,CUS0499,2025-07-09 19:49:59,Cash,Online,Completed
ORD00027,CUS0374,2025-12-22 23:09:50,Credit Card,Online,Completed
ORD00028,CUS0337,2025-02-15 13:09:53,Credit Card,Online,Completed
ORD00029,CUS0084,2025-03-19 02:50:45,E-Wallet,Offline,Completed
ORD00030,CUS0220,2025-08-14 07:57:58,Cash,Offline,Completed
ORD00031,CUS0322,2025-03-21 16:21:59,E-Wallet,Online,Completed
ORD00032,CUS0002,2025-03-08 20:44:55,Credit Card,Online,Completed
ORD00033,CUS0492,2025-09-29 13:01:07,Cash,Online,Completed
ORD00034,CUS0027,2025-07-23 13:59:41,Credit Card,Online,Completed
ORD00035,CUS0444,2025-11-03 09:12:16,E-Wallet,Offline,Completed
ORD00036,CUS0125,2025-10-25 05:27:28,E-Wallet,Offline,Completed
ORD00037,CUS0356,2025-06-20 12:15:27,E-Wallet,Online,Completed
ORD00038,CUS0378,2025-04-25 00:01:29,Credit Card,Offline,Completed
ORD00039,CUS0073,2025-08-22 15:33:29,Credit Card,Offline,Completed
