product_id,product_name,unit_price,unit_cost,category_id
PRD0001,Purpose Brother,22.26,16.19,C1
PRD0002,Ago Site,78.37,55.66,C2
PRD0003,Face Election,52.6,39.04,C5
PRD0004,Dog Chair,55.91,40.44,C1
PRD0005,Since Blue,23.0,16.56,C5
PRD0006,Require Sit,215.56,160.58,C5
PRD0007,Wait Offer,406.62,284.9,C3
PRD0008,Begin Performance,352.09,258.44,C2
PRD0009,Knowledge Almost,115.5,89.67,C2
PRD0010,All Better,55.45,39.35,C1
PRD0011,Discover Early,305.83,238.77,C3
PRD0012,Mouth Play,272.75,217.47,C4
PRD0013,Agreement Option,48.61,35.45,C4
PRD0014,Decide Sense,443.87,326.76,C5
PRD0015,Rate Science,355.24,250.3,C2
PRD0016,Offer Kind,388.8,310.47,C2
PRD0017,Discussion List,434.58,320.73,C2
PRD0018,Perform Fall,321.49,236.77,C4
PRD0019,Table True,184.08,141.19,C3
PRD0020,According Song,308.47,221.21,C1
PRD0021,Sure Collection,90.07,66.47,C2
PRD0022,Save Knowledge,117.61,86.14,C5
PRD0023,Grow Fall,122.23,85.95,C1
PRD0024,Clearly Dinner,206.57,145.97,C3
PRD0025,Source Great,439.42,321.42,C5
PRD0026,Blue Best,203.86,161.35,C4
PRD0027,Husband Bill,80.01,57.12,C4
PRD0028,Her Throw,274.1,212.35,C5
PRD0029,Guy Pm,449.93,332.92,C4
PRD0030,Everything Surface,498.69,355.98,C2
PRD0031,Animal Show,54.55,38.44,C4
PRD0032,Machine Not,84.89,60.78,C1
PRD0033,Capital Win,302.24,223.2,C4
PRD0034,Human Bar,498.1,375.03,C5
PRD0035,Old Finally,431.78,302.74,C5
PRD0036,Themselves Production,344.04,259.3,C1
PRD0037,Present Value,386.61,283.78,C3
PRD0038,Training High,223.03,166.24,C3
PRD0039,Participant Dark,486.23,377.41,C3
PRD0040,Sea Available,457.19,359.83,C5
PRD0041,Answer Recently,422.42,317.14,C3
PRD0042,Drive Spring,84.89,65.9,C2
PRD0043,Figure Base,477.21,378.07,C5
PRD0044,Top Early,303.48,227.26,C1
PRD0045,Trial Blood,465.26,366.57,C1
PRD0046,Husband Fall,127.33,92.2,C3
PRD0047,Long Prove,474.01,335.87,C5
PRD0048,They His,409.85,326.98,C4
PRD0049,Commercial Hospital,385.26,274.63,C5
