promo_product_id,promo_id,product_id
1,P3,PRD0471
2,P3,PRD0315
3,P3,PRD0303
4,P3,PRD0044
5,P3,PRD0345
6,P3,PRD0069
7,P3,PRD0161
8,P3,PRD0061
9,P3,PRD0123
10,P3,PRD0157
11,P3,PRD0060
12,P3,PRD0094
13,P3,PRD0192
14,P3,PRD0356
15,P3,PRD0073
16,P3,PRD0262
17,P3,PRD0199
18,P3,PRD0215
19,P3,PRD0306
20,P3,PRD0071
21,P3,PRD0295
22,P3,PRD0197
23,P3,PRD0217
24,P3,PRD0096
25,P3,PRD0250
26,P3,PRD0326
27,P3,PRD0276
28,P3,PRD0331
29,P3,PRD0477
30,P3,PRD0089
31,P3,PRD0285
32,P3,PRD0086
33,P3,PRD0251
34,P3,PRD0148
35,P3,PRD0072
36,P3,PRD0162
37,P3,PRD0432
38,P3,PRD0231
39,P3,PRD0318
40,P3,PRD0028
41,P3,PRD0444
42,P3,PRD0184
43,P3,PRD0488
44,P3,PRD0005
45,P3,PRD0249
46,P3,PRD0070
47,P3,PRD0100
48,P3,PRD0418
49,P3,PRD0494
50,P3,PRD0288
